country,capital_city,region,continent,alliance,year,active_personnel,reserve_personnel,total_personnel,total_aircraft,fighter_aircraft,attack_aircraft,transport_aircraft,helicopters,tanks,armored_vehicles,artillery_units,naval_assets,aircraft_carriers,defense_budget_usd,gdp_usd,population,land_area_sq_km,coastline_km,power_index_rank,Power_index_score,assets_per_capita,budget_to_gdp_ratio,personnel_density,budget_per_soldier,power_index_rank_gap,air_power_ratio,armor_intensity_index,naval_strength_per_coastline,military_burden_index,total_assets
Lithuania,Other,Other,Other,Non-NATO,2025,23000,104000,127000,9,0,0,5,4,0,1263,21,14,0,2388900000,132712000000,2628186,65300,90,88,1.9075,9e-06,0.018001,0.048322,103865.217391,87,0.000391,0.0,0.155556,908.953932,23
Mozambique,Other,Other,Other,Non-NATO,2025,11200,0,11200,22,8,0,4,8,30,872,0,33,0,412400000,50631000000,33350954,799380,2470,89,1.9265,3e-06,0.008145,0.000336,36821.428571,88,0.001964,3.8e-05,0.01336,12.365463,85
Tunisia,Other,Other,Other,Non-NATO,2025,89800,0,89800,154,10,0,11,101,90,7913,0,58,0,1400000000,153637000000,12048847,163610,1148,90,1.9538,2.5e-05,0.009112,0.007453,15590.200445,89,0.001715,0.00055,0.050523,116.193691,302
Armenia,Other,Other,Other,Non-NATO,2025,57500,210000,267500,71,4,15,3,36,109,1306,145,0,0,1700000000,57728000000,2976765,29743,0,91,2.0373,6e-05,0.029448,0.089863,29565.217391,90,0.001235,0.003665,0.0,571.089757,180
Tanzania,Other,Other,Other,Non-NATO,2025,27000,80000,107000,39,14,0,6,12,62,1072,0,12,0,1406745334,234050000000,67462121,947300,1424,92,2.0416,2e-06,0.00601,0.001586,52101.679037,91,0.001444,6.5e-05,0.008427,20.852373,113
Cameroon,Other,Other,Other,Non-NATO,2025,40000,0,40000,35,0,0,6,21,0,430,18,51,0,554952283,138925000000,30966105,475440,400,93,2.0501,3e-06,0.003995,0.001292,13873.807075,92,0.000875,0.0,0.1275,17.921281,86
Georgia,Other,Other,Other,Non-NATO,2025,55000,152500,207500,61,0,5,2,44,123,3392,67,19,0,495629055,83656000000,4900961,69700,310,94,2.0695,4.1e-05,0.005925,0.042339,9011.437364,93,0.001109,0.001765,0.06129,101.128953,203
Cambodia,Other,Other,Other,Non-NATO,2025,221000,0,221000,25,0,0,4,21,644,3627,30,20,0,860000000,85900000000,17063669,181035,443,95,2.0752,4e-05,0.010012,0.012951,3891.402715,94,0.000113,0.003557,0.045147,50.399477,689
Slovenia,Other,Other,Other,Non-NATO,2025,7300,26000,33300,39,0,0,4,16,54,1428,0,2,0,886860000,102036000000,2097893,20273,47,96,2.1016,4.5e-05,0.008692,0.015873,121487.671233,95,0.005342,0.002664,0.042553,422.738433,95
Ireland,Other,Other,Other,Non-NATO,2025,7765,1700,9465,22,0,0,4,8,0,1712,0,8,0,1500000000,608463000000,5233461,70273,1448,97,2.1103,6e-06,0.002465,0.001809,193174.500966,96,0.002833,0.0,0.005525,286.617212,30
Mongolia,Other,Other,Other,Non-NATO,2025,35000,135000,170000,7,0,0,3,2,420,2560,0,0,0,165110000,56264000000,3281676,1564116,0,98,2.1135,0.00013,0.002935,0.051803,4717.428571,97,0.0002,0.000269,0.0,50.312706,427
