,country,population,available_military_manpower,manpower_fit_for_military_service,manpower_reaching_military_age_annually,active_personnel,reserve_personnel,manpower_paramilitary,total_aircraft,fighter_aircraft,attack_aircraft,transport_aircraft,aircraft_total_trainers,aircraft_total_special_mission,aircraft_total_tanker_fleet,helicopters,aircraft_helicopters_attack,tanks,armored_vehicles,armor_self_propelled_guns_total,artillery_units,armor_mlrs_total,navy_ships,navy_force_by_tonnage,aircraft_carriers,navy_helo_carriers,navy_submarines,navy_destroyers,navy_frigates,navy_corvettes,navy_patrol_coastal_craft,navy_mine_warfare_craft,defense_budget_usd,external_debt_by_country,purchasing_power_parity,reserves_of_foreign_exchange_and_gold,major_serviceable_airports_by_country,labor_force_by_country,major_ports_and_terminals,railway_coverage,roadway_coverage,oil_production_by_country,oil_consumption_by_country,proven_oil_reserves_by_country,natural_gas_production_by_country,natural_gas_consumption_by_country,proven_natural_gas_reserves_by_country,coal_production_by_country,coal_consumption_by_country,proven_coal_reserves_by_country,land_area_sq_km,coastline_km,border_coverage,waterway_coverage,capital_city,captal population,power_index_rank,year,alliance,continent,region,gdp_usd,power_index_rank_gap,naval_assets,total_military_assets,assets_per_capita,budget_to_gdp_ratio,budget_to_gdp_percent
115,New Zealand,5161211,2219321,1775457,61935,8670,3250,300,48,0,0,8,13,6,0,21,0,0,2114,0,31,0,8,0,0,0,0,0,2,0,4,0,3030000000,209683100000,254770000000,15487000000,202,3068000,22,4128,94000,12000,154000,40993000,3770000000,3819000000,31149000000,3036000,2441000,7575000000,268838,15134,0,0,Libreville,857000,86,2025,Non-NATO,Oceania,Oceania,260172385097.616,85,14,2193,2193.0000027125416,0.011646124544936435,1.1646124544936436
116,Georgia,4900961,2744538,2225036,93118,55000,152500,0,61,0,5,2,10,0,0,44,11,123,3392,67,121,42,19,0,0,0,0,0,0,0,31,4,495629055,13488000000,83656000000,5002000000,19,1853000,3,1363,20295,300,32000,35000000,8760000,2796000000,8495000000,256000,516000,900999000,69700,310,1814,0,Vientiane,706000,94,2025,Non-NATO,Asia,,34189423544.9955,93,54,3697,3697.0000110182473,0.01449656073749591,1.449656073749591
117,Panama,4470241,2011608,1206965,53643,0,0,80000,38,0,0,13,0,2,0,23,0,0,262,0,0,0,30,0,0,0,0,0,0,0,27,0,917202000,1115532300000,159867000000,6757000000,76,2096000,12,77,11978,0,146000,0,0,389611000,0,0,837000,0,75420,2490,687,800,Manama,689000,136,2025,Non-NATO,North America,,86523959131.7472,135,57,300,300.0000127509904,0.010600555143384118,1.0600555143384118
118,Mauritania,4328040,1687936,1181555,82233,31540,66000,5000,24,0,4,7,7,2,0,4,0,25,628,0,75,0,6,0,0,0,0,0,0,0,6,0,261250000,3661000000,30395000000,2629290500,25,1179000,2,728,12253,0,29000,20000000,0,0,28317000000,0,0,0,1030700,754,5002,1086,Zagreb,684000,123,2025,Non-NATO,Africa,,10908045686.8808,122,12,752,752.0000027726177,0.023950211385180355,2.3950211385180356
119,Croatia,4150116,2033557,1564594,53952,14325,20100,2000,67,10,0,0,28,0,0,37,0,45,2848,25,42,42,30,0,0,0,0,0,0,0,10,1,1176000000,55000000000,159305000000,3176000000,40,1744000,16,2617,26958,11000,70000,71000000,741456000,2502000000,24919000000,0,702000,0,56594,5835,2237,4714,Doha,658000,74,2025,NATO,Europe,,92983810328.9088,73,41,3002,3002.000009879242,0.012647362974696036,1.2647362974696037
120,Oman,3901992,1482757,1291559,50726,42600,100000,10000,128,29,10,9,45,4,0,31,0,150,4084,24,140,0,22,0,0,0,0,0,0,5,12,0,8200000000,50897000000,185960000000,17455000000,36,2316000,7,0,60230,1056000,211000,5375000000,40754000000,27364000000,651287000000,0,31000,0,309500,2092,1561,0,Colombo,633000,82,2025,Non-NATO,Asia,Middle East,109852795838.752,81,39,4502,4502.000009994895,0.07464534641463666,7.464534641463666
121,Bosnia and Herzegovina,3798671,2355176,1956316,49383,12770,6000,0,22,0,0,0,0,0,0,22,0,45,720,0,457,79,0,0,0,0,0,0,0,0,0,0,216400000,7760500000,63769000000,9205000000,13,1369000,1,965,22926,0,36000,0,0,225824000,0,14114000,14766000,2264000000,51197,20,1543,990,Riga,625000,132,2025,Non-NATO,Europe,,29613572022.8993,131,0,1244,1244.0,0.007307460235889959,0.7307460235889959
122,Moldova,3599528,2159717,1792565,71991,8500,67000,2000,3,0,0,1,0,0,0,2,0,0,500,9,67,11,0,0,0,0,0,0,0,0,0,0,1710000000,4565500000,38969000000,5453000000,11,1464000,0,1171,9352,0,22000,0,10000,2344000000,0,0,120000,0,33851,0,1885,558,Skopje,611000,134,2025,Non-NATO,Europe,,18200340853.6517,133,0,570,570.0,0.09395428435929029,9.395428435929029
123,Uruguay,3425330,1575652,1322177,54805,25000,0,5000,43,0,6,6,12,5,2,12,0,31,3042,6,70,4,14,0,0,0,0,0,0,0,2,2,772400000,49500000000,105096000000,16257000000,64,1775000,8,1673,77732,400,52000,0,0,86037000,0,0,18000,0,176215,660,1591,1600,Vilnius,541000,100,2025,Non-NATO,South America,,80961511073.5797,99,18,3186,3186.000005254968,0.009540335768906599,0.9540335768906598
124,Mongolia,3281676,1870555,1552233,62352,35000,135000,50000,7,0,0,3,2,0,0,2,0,420,2560,0,500,130,0,0,0,0,0,0,0,0,0,0,165110000,19542500000,56264000000,4782000000,35,1403000,0,1815,113200,15000,36000,0,0,0,0,28276000,6393000,2520000000,1564116,0,8082,580,Tirana,512000,98,2025,Non-NATO,Asia,,23794540024.5132,97,0,3487,3487.0,0.0069389868360516,0.6938986836051599
125,Kuwait,3138355,1726095,1449920,37660,72000,24000,7500,128,43,0,2,13,0,3,67,16,367,5636,74,0,27,123,0,0,0,0,0,0,0,106,0,6950000000,55000000000,219060000000,52619000000,6,2463000,6,0,5749,2910000,372000,101500000000,19285000000,26083000000,1784000000000,0,145000,0,17818,499,475,0,Chisinau,488000,79,2025,Non-NATO,Asia,Middle East,183502046693.878,78,229,6131,6131.000072968163,0.03787423696474698,3.7874236964746983
126,Albania,3107100,1522479,1292554,62142,6600,2000,500,19,0,0,0,0,0,0,19,0,46,1796,0,50,135,19,0,0,0,0,0,0,0,19,0,558862420,7312000000,49592000000,6455000000,3,1388000,3,424,3945,1400,2600,150000000,50623000,50623000,5692000000,379000,389000,522000000,28748,362,691,41,Windhoek,477000,78,2025,NATO,Europe,,27046429296.6673,77,38,1911,1911.0000122300537,0.020663075848938915,2.0663075848938917
127,Armenia,2976765,1666988,1366335,44651,57500,210000,5000,71,4,15,3,13,0,0,36,20,109,1306,145,148,100,0,0,0,0,0,0,0,0,0,0,1700000000,9014000000,57728000000,3607000000,11,1356000,0,686,7700,0,14000,0,0,2861000000,0,60,23000,317000000,29743,0,1570,0,Canberra,467000,91,2025,Non-NATO,Asia,,25955275380.0321,90,0,1634,1634.0,0.06549728234853724,6.549728234853724
128,Namibia,2803660,616805,400923,30840,13000,0,5000,34,11,0,3,14,0,0,7,2,4,2094,0,25,25,15,0,0,0,0,0,0,2,12,0,370500000,8800000000,29944000000,2956000000,255,989000,2,2628,48875,0,25000,0,0,0,62297000000,0,32000,350000000,824292,1572,4220,0,Juba,459000,116,2025,Non-NATO,Africa,,13682019076.4022,115,29,2157,2157.0000103436223,0.027079336604566847,2.7079336604566846
129,Lithuania,2628186,1708321,1332490,36795,23000,104000,14150,9,0,0,5,0,0,0,4,0,0,1263,21,54,0,14,0,0,0,0,0,0,0,7,4,2388900000,44000000000,132712000000,6168000000,65,1510000,2,1911,84166,4000,68000,12000000,0,1601000000,0,0,263000,0,65300,90,1545,441,Tallinn,452000,88,2025,NATO,Europe,,84869215513.3648,87,25,1326,1326.0000095122643,0.028148015573724813,2.814801557372481
130,Qatar,2552088,638022,490001,12760,66550,15000,5500,251,102,6,12,51,0,0,80,24,99,5024,46,12,16,115,0,0,0,0,0,0,4,105,0,9432000000,187000000000,304973000000,51539000000,8,2035000,6,0,7039,1815000,297000,25244000,169595000000,41515000000,23861000000000,0,0,0,11586,563,87,0,Bratislava,441000,72,2025,Non-NATO,Asia,Middle East,235709340659.341,71,224,5386,5386.000087771268,0.0400153849381455,4.00153849381455
131,Gabon,2455105,932940,532758,46647,4800,0,2500,24,6,0,3,0,0,0,15,0,0,424,0,0,14,5,0,0,0,0,0,0,0,4,0,274820000,6280000000,48201000000,1568196000,40,763000,9,649,14300,204000,16000,2000000000,463000000,463000000,25995000000,0,0,0,267667,885,3261,1600,Bern,441000,133,2025,Non-NATO,Africa,,20895684425.6752,132,9,448,448.000003665831,0.013151998010762443,1.3151998010762442
132,Botswana,2450668,1029281,617568,24507,21000,0,0,45,11,0,9,9,0,0,16,0,45,1224,12,36,20,0,0,0,0,0,0,0,0,0,0,465600000,1853500000,46742000000,4756000000,122,1170000,0,888,31747,0,21000,0,0,0,0,2634000,2291000,1660000000,581730,0,4347,0,Wellington,422000,122,2025,Non-NATO,Africa,,20321150599.1523,121,0,1350,1350.0,0.02291208845327009,2.291208845327009
133,North Macedonia,2135622,948216,783773,27763,9000,60000,3500,20,0,0,0,10,0,0,10,4,20,1108,0,150,17,0,0,0,0,0,0,0,0,0,0,388421700,11000000000,42444000000,5015000000,13,801000,0,699,14182,0,22000,0,0,274928000,0,5075000,5776000,332000000,25713,0,838,0,Sarajevo,344000,112,2025,NATO,,,16951682245.4202,111,0,1298,1298.0,0.022913460409213313,2.291346040921331
134,Slovenia,2097893,1006989,826570,22867,7300,26000,5000,39,0,0,4,23,0,0,16,0,54,1428,0,18,0,2,0,0,0,0,0,0,0,2,0,886860000,55000000000,102036000000,2370000000,42,1055000,2,1207,38985,0,45000,0,3863000,840902000,0,2358000,2553000,95000000,20273,47,1211,710,Ljubljana,286000,96,2025,NATO,Europe,,72972015197.3859,95,4,1539,1539.000001906675,0.012153426181270794,1.2153426181270794
135,Kosovo,1977093,917371,743387,17794,10000,5000,500,0,0,0,0,0,0,0,0,0,0,737,0,0,0,0,0,0,0,0,0,0,0,0,0,260715150,2750000000,23794000000,1245000000,4,500300,0,437,2012,0,15000,0,0,0,0,9074000,8927000,1564000000,10887,0,714,0,Porto-Novo,285000,141,2025,Non-NATO,Europe,,11197246322.588,140,0,737,737.0,0.023283863057836293,2.328386305783629
136,Latvia,1801246,810561,648449,16211,17250,36000,12500,7,0,0,0,0,0,0,7,0,0,1848,47,0,0,18,0,0,0,0,0,0,0,11,6,1138000000,44180400000,71154000000,4957000000,56,978000,5,2216,70244,2000,35000,0,0,828214000,0,0,20000,0,64589,498,1370,300,Gaborone,272000,99,2025,NATO,Europe,,43684254432.3609,98,35,1855,1855.000019430994,0.026050576226773824,2.6050576226773825
137,Bahrain,1566888,846120,720768,17236,18400,110000,1500,132,24,0,3,40,0,0,80,34,150,2764,38,26,17,64,0,0,0,0,0,2,2,50,0,1597200000,49500000000,85491000000,5118000000,3,855000,4,0,4122,189000,72000,186500000,18005000000,17924000000,81382000000,0,0,0,760,161,0,0,Paramaribo,239000,81,2025,Non-NATO,Asia,Middle East,47109734308.5106,80,118,3072,3072.0000753085096,0.03390382101372748,3.3903821013727478
138,Estonia,1193791,584958,456028,13132,7700,78800,10000,5,0,0,2,3,0,0,3,0,0,1685,36,0,0,8,0,0,0,0,0,0,0,4,4,1463360000,26400000000,57377000000,2593000000,26,752000,20,1441,58412,24000,28000,0,0,354912000,0,0,3000,0,45228,3794,657,335,Yamoussoukro,231000,107,2025,NATO,Europe,,43130419829.35,106,16,1690,1690.0000134026811,0.033928721440457485,3.3928721440457483
139,Bhutan,884546,203446,122067,4423,7500,0,0,2,0,0,0,0,0,0,2,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,14000000,2757000000,10981000000,976260000,4,430000,0,0,12205,0,3000,0,0,0,0,177000,325000,0,38394,0,1136,0,Pristina,216870,145,2025,Non-NATO,,,3012896789.24928,144,0,86,86.0,0.004646690869051762,0.4646690869051762
140,Luxembourg,671254,154388,92633,3356,1000,0,0,1,0,0,1,0,0,0,0,0,0,182,0,0,0,0,0,0,0,0,0,0,0,0,0,726092925,4730000000000,88533000000,2977000000,3,352000,0,271,2875,0,51000,0,0,594240000,0,0,62000,0,2586,0,327,37,Reykjavik,216000,117,2025,NATO,Europe,,93279851863.4062,116,0,183,183.0,0.0077840274238776645,0.7784027423877664
141,Suriname,646758,142287,84079,3234,2000,0,200,3,0,0,0,0,0,0,3,0,0,650,0,0,0,17,0,0,0,0,0,0,0,17,0,144000000,2200000000,11824000000,1346000000,55,250000,4,0,4304,14000,15000,89000000,7109000,6967000,0,0,0,0,163820,386,1907,1200,Thimphu,205000,139,2025,Non-NATO,South America,,5240606060.60606,138,34,653,653.0000525698948,0.02747773794379554,2.747773794379554
142,Montenegro,599849,143964,85179,3599,2350,0,5500,11,0,0,0,0,0,0,11,0,0,471,0,12,12,14,0,0,0,0,0,0,0,2,0,148100000,2958500000,17115000000,1574000000,5,286000,4,250,7762,0,8000,0,0,0,0,1734000,1517000,337000000,13812,294,680,0,Podgorica,177000,127,2025,Non-NATO,Europe,,8270016670.86774,126,16,494,494.00002667337947,0.017908065472431563,1.7908065472431562
143,Beliz,415789,158000,90226,8732,1650,850,0,3,0,0,1,0,1,0,1,0,0,130,0,0,0,8,0,0,0,0,0,0,0,8,0,29538000,1248000000,5257000000,473729000,27,190000,2,0,3281,800,5000,6700000,0,0,0,0,0,0,22966,386,542,825,Luxembourg,120000,137,2025,Non-NATO,North America,,3203632000.0,136,16,133,133.0000384810565,0.009220160118265769,0.9220160118265769
144,Iceland,364036,83728,50237,1820,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,312400000,22000000000,26155000000,5809000000,83,239000,43,0,12898,0,18000,0,0,0,0,0,188000,0,100250,4970,0,0,Belmopan,25000,135,2025,NATO,Europe,,33255181468.9382,134,0,150,150.0,0.009394024816607761,0.9394024816607761
