country,rank,total_population_by_country,available_military_manpower,manpower_fit_for_military_service,manpower_reaching_military_age_annually,active_military_manpower,active_reserve_military_manpower,manpower_paramilitary,capital_cities_by_total_population,aircraft_total,aircraft_total_fighters,aircraft_total_attack_types,aircraft_total_transports,aircraft_total_trainers,aircraft_total_special_mission,aircraft_total_tanker_fleet,aircraft_helicopters_total,aircraft_helicopters_attack,armor_tanks_total,armor_apc_total,armor_self_propelled_guns_total,armor_towed_artillery_total,armor_mlrs_total,navy_ships,navy_force_by_tonnage,navy_aircraft_carriers,navy_helo_carriers,navy_submarines,navy_destroyers,navy_frigates,navy_corvettes,navy_patrol_coastal_craft,navy_mine_warfare_craft,defense_spending_budget,external_debt_by_country,purchasing_power_parity,reserves_of_foreign_exchange_and_gold,major_serviceable_airports_by_country,labor_force_by_country,major_ports_and_terminals,railway_coverage,roadway_coverage,oil_production_by_country,oil_consumption_by_country,proven_oil_reserves_by_country,natural_gas_production_by_country,natural_gas_consumption_by_country,proven_natural_gas_reserves_by_country,coal_production_by_country,coal_consumption_by_country,proven_coal_reserves_by_country,square_land_area,coastline_coverage,border_coverage,waterway_coverage,year,capital_city,continent,alliance,region
Bolivia,80,12311974,5417269,4112199,233928,40000,40000,0,0,64,0,0,15,19,0,0,33,0,54,890,0,106,0,67,0,0,0,0,0,0,0,50,0,550200000,11431000000,1.2E+11,1800000000,200,6114000,0,3690,90568,58000,87000,240900000,13760000000,3055000000,3.03E+11,0,9000,1000000,1098581,0,7252,10000,2025,La Paz,South America,Non-NATO,Latin America & Caribbean
Bahrain,81,1566888,846120,720768,17236,18400,110000,1500,0,132,24,0,3,40,0,0,80,34,150,2764,38,26,17,64,0,0,0,0,0,2,2,50,0,1597200000,49500000000,85491000000,5118000000,3,855000,4,0,4122,189000,72000,186500000,18005000000,17924000000,81382000000,0,0,0,760,161,0,0,2025,Manama,Asia,Non-NATO,Middle East & North Africa
Oman,82,3901992,1482757,1291559,50726,42600,100000,10000,0,128,29,10,9,45,4,0,31,0,150,4084,24,140,0,22,0,0,0,0,0,0,5,12,0,8200000000,50897000000,1.86E+11,17455000000,36,2316000,7,0,60230,1056000,211000,5375000000,40754000000,27364000000,6.51E+11,0,31000,0,309500,2092,1561,0,2025,Muscat,Asia,Non-NATO,Middle East & North Africa
Kenya,83,58246378,21551160,14037377,931942,50000,0,25000,0,156,17,0,21,31,2,0,85,2,188,4128,18,53,0,23,0,0,0,0,0,0,0,7,0,1307383850,30514500000,3.14E+11,7342000000,370,25502000,4,3819,161452,0,119000,0,0,0,0,0,1168000,0,580367,536,3457,0,2025,Nairobi,Africa,Non-NATO,Sub-Saharan Africa
Chad,84,19093595,6873694,3856906,381872,33250,0,5000,0,40,0,7,7,8,2,0,16,3,90,3316,10,10,20,0,0,0,0,0,0,0,0,0,0,381350000,2038000000,32446000000,211591000,42,5806000,0,0,40000,124000,15000,1500000000,0,0,0,0,0,0,1284000,0,6406,12400,2025,N'Djamena,Africa,Non-NATO,Sub-Saharan Africa
Yemen,85,32140443,12213368,9031464,610668,66700,0,20000,0,84,27,12,2,15,0,0,30,7,0,550,0,15,10,33,0,0,0,0,0,0,1,12,1,810375000,6343500000,67003300000,923361750,36,6883000,10,0,71300,15000,60000,3000000000,189432000,189432000,4.79E+11,0,165000,0,527968,1906,1601,0,2025,Sanaa,Asia,Non-NATO,Middle East & North Africa
New Zealand,86,5161211,2219321,1775457,61935,8670,3250,300,0,48,0,0,8,13,6,0,21,0,0,2114,0,31,0,8,0,0,0,0,0,2,0,4,0,3030000000,2.1E+11,2.55E+11,15487000000,202,3068000,22,4128,94000,12000,154000,40993000,3770000000,3819000000,31149000000,3036000,2441000,7575000000,268838,15134,0,0,2025,Wellington,Oceania,Non-NATO,East Asia & Pacific
Paraguay,87,7522549,3535598,3001497,150451,15650,168500,15000,0,39,0,0,11,13,1,0,14,0,0,1108,0,25,0,72,0,0,0,0,0,0,0,63,0,17595000000,14370000000,1.08E+11,9886000000,83,3469000,1,30,78811,2000,57000,0,0,0,0,0,1000,0,406752,0,4655,3100,2025,Asuncion,South America,Non-NATO,Latin America & Caribbean
Lithuania,88,2628186,1708321,1332490,36795,23000,104000,14150,0,9,0,0,5,0,0,0,4,0,0,1263,21,54,0,14,0,0,0,0,0,0,0,7,4,2388900000,44000000000,1.33E+11,6168000000,65,1510000,2,1911,84166,4000,68000,12000000,0,1601000000,0,0,263000,0,65300,90,1545,441,2025,Vilnius,Europe,Non-NATO,Europe & Central Asia
Mozambique,89,33350954,14674420,7770772,533615,11200,0,3000,0,22,8,0,4,1,1,0,8,2,30,872,0,52,6,33,0,0,0,0,0,0,0,33,0,412400000,12100000000,50631000000,3515000000,92,15191000,11,4787,31083,0,40000,0,5388000000,1347000000,2.83E+12,9015000,11000,1792000000,799380,2470,4783,460,2025,Maputo,Africa,Non-NATO,Sub-Saharan Africa
Tunisia,90,12048847,6024424,5181004,204830,89800,0,12000,0,154,10,0,11,28,4,0,101,0,90,7913,0,85,0,58,0,0,0,0,0,0,0,51,0,1400000000,27084500000,1.54E+11,9240000000,14,4445000,16,2173,20000,35000,108000,425000000,1323000000,5153000000,65129000000,0,2000,0,163610,1148,1495,0,2025,Tunis,Africa,Non-NATO,Middle East & North Africa
